bottle.stl
Opening bottle.stl.
-21.067232 51.204834 6.051800 
-23.352133 49.510132 5.168967 
-15.339333 54.420334 5.400867 
-18.021166 53.659939 4.676900 
-11.071166 56.017303 5.025767 
-12.657634 55.598999 4.206767 
-9.781400 57.025928 5.171033 
-10.323667 56.730732 4.185167 
-10.152367 57.746967 5.547733 
-10.377033 57.533966 4.479500 
-10.584300 58.277496 5.798933 
-10.968933 58.118633 4.757733 
-10.514300 58.651836 5.783866 
-11.088966 58.544033 4.825167 
-9.905933 58.880871 5.495733 
-10.638133 58.820236 4.663400 
-8.950067 59.068237 5.021866 
-9.729267 59.004833 4.308867 
-8.025666 59.422466 4.548133 
-8.703166 59.276997 3.892200 
-7.463666 60.105301 4.247233 
-7.956700 59.836597 3.577567 
-7.258833 61.017933 4.132067 
-7.633100 60.695965 3.437000 
-7.172534 61.914032 4.084533 
-7.533000 61.626934 3.394933 
-6.087467 62.590534 3.528367 
-6.913834 62.395733 3.174733 
-3.815567 62.856831 1.939467 
-8.768967 5.617400 1.631733 
-12.504767 5.918033 2.955967 
-12.996501 5.172033 1.825633 
-9.646199 8.638467 2.380367 
-11.129767 7.651200 1.663067 
-7.852067 11.207433 1.781433 
-8.254600 10.416500 1.153567 
-9.697333 15.222168 1.727433 
-8.785900 13.610200 0.992700 
-15.369599 23.289232 2.081733 
-13.229033 20.061632 1.124033 
-22.218300 34.390934 2.590933 
-20.170267 30.453798 1.428167 
-25.512667 44.652996 2.919233 
-25.258234 41.490433 1.713367 
-22.727365 51.204834 2.859033 
-24.634169 49.510132 1.784933 
-16.689301 54.420368 2.559400 
-19.110500 53.659939 1.624233 
-12.186000 56.017334 2.363667 
-13.535701 55.599072 1.440200 
-10.852366 57.025928 2.414233 
-11.128033 56.730732 1.411633 
-11.287766 57.746967 2.588767 
-11.220699 57.533966 1.509300 
-11.775333 58.277496 2.715367 
-11.869400 58.118633 1.614567 
-11.703267 58.651836 2.718233 
-12.004933 58.544033 1.649567 
-11.031933 58.880871 2.592533 
-11.522300 58.820236 1.605967 
